AREA_TITLE,OCC_TITLE,A_MEAN
New Hampshire,Management Analysts,"119,500"
New Hampshire,Financial and Investment Analysts,"95,870"
New Hampshire,Database Administrators,"103,610"
New Hampshire,Database Architects,"123,150"
New Hampshire,Data Scientists,"97,330"
New Jersey,Management Analysts,"122,840"
New Jersey,Financial and Investment Analysts,"128,280"
New Jersey,Database Administrators,"122,460"
New Jersey,Database Architects,"158,930"
New Jersey,Data Scientists,"134,140"
New Mexico,Management Analysts,"85,070"
New Mexico,Financial and Investment Analysts,"90,340"
New Mexico,Database Administrators,"96,950"
New Mexico,Database Architects,"118,590"
New Mexico,Data Scientists,"88,720"
New York,Management Analysts,"126,450"
New York,Financial and Investment Analysts,"143,330"
New York,Database Administrators,"104,230"
New York,Database Architects,"144,140"
New York,Data Scientists,"134,830"
North Carolina,Management Analysts,"109,220"
North Carolina,Financial and Investment Analysts,"104,610"
North Carolina,Database Administrators,"104,480"
North Carolina,Database Architects,"122,460"
North Carolina,Data Scientists,"125,950"
North Dakota,Management Analysts,"97,190"
North Dakota,Financial and Investment Analysts,"82,130"
North Dakota,Database Administrators,"82,660"
North Dakota,Database Architects,"106,250"
North Dakota,Data Scientists,"102,410"
Ohio,Management Analysts,"95,860"
Ohio,Financial and Investment Analysts,"95,600"
Ohio,Database Administrators,"94,860"
Ohio,Database Architects,"121,620"
Ohio,Data Scientists,"97,530"
Oklahoma,Management Analysts,"87,360"
Oklahoma,Financial and Investment Analysts,"89,500"
Oklahoma,Database Administrators,"85,550"
Oklahoma,Database Architects,"119,940"
Oklahoma,Data Scientists,"93,020"
Oregon,Management Analysts,"98,710"
Oregon,Financial and Investment Analysts,"103,840"
Oregon,Database Administrators,"103,070"
Oregon,Database Architects,"132,460"
Oregon,Data Scientists,"124,480"
Pennsylvania,Management Analysts,"98,460"
Pennsylvania,Financial and Investment Analysts,"94,400"
Pennsylvania,Database Administrators,"100,160"
Pennsylvania,Database Architects,"121,960"
Pennsylvania,Data Scientists,"102,370"
Rhode Island,Management Analysts,"114,260"
Rhode Island,Financial and Investment Analysts,"97,090"
Rhode Island,Database Administrators,"107,670"
Rhode Island,Database Architects,"118,510"
Rhode Island,Data Scientists,"127,380"
South Carolina,Management Analysts,"96,820"
South Carolina,Financial and Investment Analysts,"102,870"
South Carolina,Database Administrators,"101,420"
South Carolina,Database Architects,"126,340"
South Carolina,Data Scientists,"100,790"
South Dakota,Management Analysts,"87,200"
South Dakota,Financial and Investment Analysts,"86,050"
South Dakota,Database Administrators,"83,290"
South Dakota,Database Architects,"116,210"
South Dakota,Data Scientists,"97,940"
Tennessee,Management Analysts,"93,870"
Tennessee,Financial and Investment Analysts,"95,160"
Tennessee,Database Administrators,"104,490"
Tennessee,Database Architects,"119,530"
Tennessee,Data Scientists,"97,710"
Texas,Management Analysts,"106,600"
Texas,Financial and Investment Analysts,"102,590"
Texas,Database Administrators,"100,490"
